TimeHorizon:780
StationNum:3
WorkerNum:191
ParcelNum:288
stationCapacity:100
workerCapacity:3
station lat lng
1 500 1000
2 67 250
3 933 250
worker latO lngO latD lngD earliestD lastA drivingTMax
1 426 554 815 673 610 649 18
2 593 372 775 1000 188 233 30
3 670 588 953 717 376 413 14
4 81 301 700 693 297 344 34
5 59 558 618 953 55 101 32
6 204 308 33 36 370 407 14
7 238 666 981 331 623 672 38
8 164 391 570 840 621 665 28
9 880 608 772 324 505 542 14
10 444 966 383 57 427 478 42
11 198 753 780 143 305 355 40
12 98 852 115 327 496 538 24
13 371 600 400 966 398 436 16
14 547 971 691 618 700 739 18
15 60 419 121 796 627 666 18
16 826 196 164 875 96 148 44
17 755 921 434 328 632 678 32
18 317 25 386 574 348 391 26
19 26 302 788 907 565 618 46
20 477 11 909 551 565 611 32
21 458 484 739 598 558 595 14
22 665 5 866 231 596 633 14
23 546 678 662 34 240 285 30
24 757 663 381 694 424 463 18
25 884 888 436 107 237 288 42
26 962 433 529 867 373 417 28
27 78 818 612 473 546 591 30
28 544 935 707 298 254 299 30
29 41 925 895 268 432 487 50
30 459 577 707 857 670 708 16
31 62 350 811 783 255 305 40
32 335 460 934 938 409 457 36
33 374 477 966 955 222 270 36
34 204 948 556 739 635 674 18
35 304 456 324 789 368 406 16
36 320 820 833 332 136 182 32
37 439 819 448 397 561 601 20
38 869 521 15 31 669 722 46
39 542 28 587 607 654 697 26
40 843 846 82 768 113 161 36
41 867 314 258 312 609 653 28
42 143 544 552 38 53 98 30
43 695 582 876 329 178 215 14
44 264 705 803 785 412 455 26
45 991 448 823 5 420 461 22
46 6 201 532 464 488 532 28
47 285 353 156 583 493 529 12
48 803 657 535 764 246 282 12
49 458 655 996 311 439 484 30
50 739 482 423 93 290 332 24
51 401 128 738 519 330 372 24
52 337 487 836 281 509 551 24
53 862 977 568 362 274 320 32
54 98 246 5 534 378 415 14
55 208 677 132 282 471 510 18
56 276 320 981 443 355 402 34
57 19 801 379 388 531 574 26
58 581 633 18 304 292 337 30
59 317 94 712 142 453 492 18
